Supernova,sn_type,int_nat,int_150,int_1kpc,a_v,c_o,e_co,co_snr,co,halpha_lws,gcr,gcr_reff,met_theory
SN1995V,II,8.839672735197591e+39,9.098356574390131e+39,5.626363456901733e+39,1.2788075992834158,10.1257905960083,0.9063823223114014,11.17165470123291,Yes,52.49597118323195,0.14295581272079702,3.396280301797827,8.241260378874152
SN2022acko,II,3.445745101042276e+38,5.543860583782077e+38,7.868984950864679e+38,0.3049447396212661,-0.13982966542243958,0.7117888331413269,0.0,No,66.20645202360187,0.3791372256557472,5.349132803990211,8.194418508484775
SN2012fr,Ia,8.904660571183651e+37,9.61137910255348e+37,2.866850419201407e+38,0.0,-2.3060925006866455,0.9818917512893677,0.0,No,67.80803058745335,0.31117160065160954,16.537606327147618,8.611878787878789
SN2001du,II,1.3530435354080875e+39,1.8635576999760546e+39,4.641739419198077e+39,0.17916425772905134,2.8034262657165527,1.1442593336105347,2.4499919414520264,No,67.5783735181326,0.7901610432754345,41.99410306523355,8.528133333333333
SN1983V,SESNe,1.4845660990817182e+40,1.2147806235754843e+40,1.5745029644344602e+39,0.9452981371543961,5.302032947540283,0.9777513742446899,5.422679901123047,Yes,65.62497233234417,0.4849807653394629,25.77491312390853,8.581115151515151
SN1957C,Unc,2.938518960212585e+39,3.591077078009263e+39,4.5113659318499504e+39,0.3792970400406018,nan,nan,nan,No,63.37777764994122,0.8122435748346881,43.167706995891166,8.524145454545454
SN1985P,II,2.4790371281538853e+38,2.5539187987566293e+38,3.5918628424433485e+38,0.23807412216935414,0.1435399204492569,0.43370234966278076,0.3309641182422638,No,66.72808300207814,0.35099411508780515,7.365811758336993,8.473244447141619
SN2021aefx,Ia,1.263977781860364e+38,1.6517725129681728e+38,2.6011293280284877e+38,0.0,0.47932836413383484,0.4722742438316345,1.0149364471435547,No,73.48439047715426,0.3543751559931149,9.585917905115721,8.258321037510719
SN2010el,Ia,3.8272402829093126e+38,7.612922852139554e+38,4.093381793956729e+39,0.2583469600901398,15.370909690856934,1.139516830444336,13.488970756530762,Yes,68.4384120218828,0.12515317762001707,3.385418153447413,8.487739528322445
ASASSN-14ha,II,6.206906305070956e+39,1.2762259220392566e+40,5.346720109001179e+39,0.8637144049713334,61.47018814086914,1.4010099172592163,43.87562561035156,Yes,57.169856446603866,0.04834469069591773,1.3077334240899299,8.564613863308672
SN2022aau,II,9.694817596411935e+40,1.0642714910585425e+41,1.028422574762654e+41,2.3533109304351405,96.28359985351562,0.602285623550415,159.8636932373047,Yes,76.07570589690242,0.04759220239111928,1.3190631219163207,8.54885217941509
SN2017gax,SESNe,4.185157273316843e+39,5.875525325021214e+39,3.198043337942508e+39,0.0,3.473696231842041,0.20404577255249023,17.02410316467285,Yes,501.3920551871064,0.3601959804020866,9.9831739348029,8.436218738847563
SN1973R,II,1.1176985848142032e+40,9.38490903118108e+39,9.346342680785747e+39,1.174365603892914,11.377413749694824,0.769609808921814,14.783353805541992,Yes,58.758273507559586,0.29080283585667477,4.388844509051779,8.56433306705431
SN1989B,Ia,1.2565095465358724e+40,2.2486133848057684e+40,2.951569447621463e+40,0.8105934792037327,43.1572265625,0.8719887733459473,49.49287033081055,Yes,66.47918642302146,0.17117843019223924,2.583453188151117,8.553500719128907
SN2016cok,II,5.177867242845618e+39,6.214955247532292e+39,5.856808668725864e+39,1.3588176996109647,3.7275538444519043,0.9248745441436768,4.03033447265625,Yes,62.37824616697731,0.3462052017533068,5.224986180908622,8.569349917085452
SN2009hd,II,3.0814818947082474e+40,3.1356728600308767e+40,3.6211288248182755e+40,1.0336519588638895,114.98904418945312,1.1135802268981934,103.26067352294922,Yes,67.8863319591035,0.1990338861954449,3.003852338546804,8.556023114031282
SN1997bs,II,9.927623759273137e+38,8.718512596314148e+38,1.0788403299448137e+39,0.7841303040183983,6.9034037590026855,1.0497956275939941,6.5759501457214355,Yes,55.447572645366066,0.2426629172012354,3.6623088924553326,8.559973853354732
SN1967H,II,1.4346514342074687e+40,1.240779377010253e+40,1.3336822700075117e+40,1.6514610239153436,13.967912673950195,0.6991239786148071,19.979164123535156,Yes,63.360446710175275,0.16043845216461647,4.235170824022057,8.471415216927383
SN1972Q,II,3.6180321930942297e+39,4.0058221740563716e+39,2.255988672668333e+39,0.7766379130010229,2.103114366531372,0.5420306324958801,3.880065441131592,Yes,56.35596538718185,0.4296117646097795,11.340667942028693,8.272461297623197
SN1986I,II,5.1524628176390714e+39,8.87915540700291e+39,1.1674103958803707e+40,0.5184795746619125,6.4049506187438965,0.7273452281951904,8.805929183959961,Yes,62.457505886627295,0.1546472557300958,4.082297832262594,8.475695660696648
SN2014L,SESNe,3.366146687872796e+40,4.551894303728355e+40,1.778240111870612e+40,1.469457784883008,44.8104362487793,0.9495238065719604,47.192535400390625,Yes,62.60772336808071,0.07885947936662718,2.081691525348475,8.531712637290243
SN1999gn,II,1.2852723829328137e+40,2.698822794975705e+40,1.3659059125568437e+40,0.41227280120707366,7.485778331756592,0.919488251209259,8.141243934631348,Yes,60.550333461967924,0.23982772196510183,5.763888198423595,8.428555577650444
SN1926A,II,8.237240338373292e+38,1.3527879572025055e+39,2.5296318481363346e+39,0.0,-0.9055058360099792,0.9430826902389526,0.0,No,66.63977496682482,0.3501443951096005,8.415178738219716,8.343714280376968
SN1961I,II,4.150635721869112e+39,5.616622648974493e+39,2.4358662684650992e+39,0.3528427329786138,1.7587852478027344,1.951517939567566,0.9012395739555359,No,57.64181353081069,0.40473346668857535,9.727142604860367,8.301731436644468
SN1964F,II,2.9303903692530505e+38,5.915877208248966e+38,1.0700036848511285e+39,0.0,2.017420768737793,1.1028443574905396,1.8292887210845947,No,58.8637112151672,0.16001706052516587,3.845762446268191,8.489935601719418
SN2020jfo,II,2.199480578104416e+39,1.7369472115878387e+39,3.04301857351049e+39,0.9232910293667482,2.567000389099121,1.0716688632965088,2.395329713821411,No,57.26718107779834,0.3481717515634712,8.367769302971501,8.345231382304911
SN2006ov,II,3.314915130256522e+39,5.0060971152955296e+39,9.40643826722596e+39,0.32560772737337573,-0.7098835706710815,1.3054817914962769,0.0,No,68.26887004833223,0.257649507813319,6.192207244627599,8.414849368171916
SN2014dt,Ia,8.951255433113478e+38,1.2104713775083824e+39,5.085551358668022e+39,0.27866560361769,1.2786945104599,0.9955321550369263,1.284433126449585,No,71.26664845774208,0.19496123908766105,4.685591706912551,8.463061065378797
SN2006X,Ia,3.664262269436105e+38,5.360398338175515e+38,1.2127521789045132e+39,0.5388520283027971,0.4542406499385834,1.0318584442138672,0.440216064453125,No,59.66408769958494,0.23633906470008892,3.168915286491227,8.503270371978246
SN1959E,Unc,3.606657809150872e+39,4.5106692808882e+39,8.596318696254096e+39,1.0740332476125958,17.329782485961914,1.0754051208496094,16.114654541015625,Yes,55.167603534527046,0.2965278676893219,3.975947412603036,8.480673472447116
SN1901B,Unc,2.1120944464704693e+39,1.906234489817827e+39,4.6543019931292686e+39,0.9233767955195454,5.794000625610352,0.9782019853591919,5.923112869262695,Yes,53.37901179788239,0.5718744604389849,7.6678890218115505,8.377299107389277
SN2020oi,SESNe,5.473226299514552e+40,5.423781627640945e+40,3.678375945878026e+40,1.012613925156846,18.77669906616211,1.6606816053390503,11.306621551513672,Yes,65.9388602595939,0.021112792585442172,0.2830875684873655,8.584073548082355
SN2019ehk,SESNe,1.0400343563277594e+39,7.554060685290443e+38,1.3650434603830136e+39,1.4739685371415991,-0.5331461429595947,1.5197159051895142,0.0,No,76.23712131586704,0.11828588069929911,1.5860176818409213,8.547591504908455
